,1. Chương trình học của bạn là gì ?,1. Bạn đã đạt được những chứng chỉ tiếng Anh nào?,2. Thang điểm tương ứng với chứng chỉ bạn đã đạt được?,"3. Theo bạn, trình độ Speaking của bạn đang ở thang điểm bao nhiêu?","4. Theo bạn, trình độ Listening của bạn đang ở thang điểm bao nhiêu?","5. Theo bạn, trình độ Reading của bạn đang ở thang điểm bao nhiêu?","6. Theo bạn, trình độ Writing của bạn đang ở thang điểm bao nhiêu?",1. GPA của bạn hiện tại trong khoảng nào?,2. Bạn đã từng tham gia cuộc thi nào liên quan đến tiếng Anh chưa?,3. Bạn có nghĩ tiếng Anh ảnh hưởng đến năng lực học tập của bạn không?,4. Các bạn đang gặp phải những khó khăn gì trong việc tiếp thu những môn học được giảng dạy bằng tiếng Anh?
,MAS,Chưa có chứng chỉ tiếng anh,Không có chứng chỉ,3,5,4,4,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,Đôi khi khó giao tiếp với giáo viên 
,MAS,IELTS,B2,7,7,7,6,"3 đến 3,5",Đã từng tham gia,Có ảnh hưởng,Hiện tại mình chưa thấy gặp bất kỳ khó khăn nào
,MAS,APTIS,B2,7,6,5,5,"3 đến 3,5",Chưa từng tham gia,Có ảnh hưởng,Mình không nắm bắt được toàn bộ bài giảng
,HAT,VSTEP,B2,7,8,8,6,"2,5 đến 3",Đã từng tham gia,Có ảnh hưởng,không có song ngữ để so sánh nội dung tiếp thu
,HAT,APTIS,C2,9,9,8,7,"3 đến 3,5",Đã từng tham gia,Có ảnh hưởng,"Tớ nghĩ là tùy môn học thì trình độ nói tiếng Anh của mỗi thầy cô cũng khác nhau, dẫn tới không phải thầy cô nào nói tiếng Anh tớ cũng hiểu và theo kịp."
,MET,IELTS,B2,7,7,7,6,"3 đến 3,5",Đã từng tham gia,Có ảnh hưởng,Mình không cảm thấy có những khó khăn nào
,MAC,VSTEP,B1,5,5,4,5,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,Khó theo kịp bài giảng 
,MAS,IELTS,B2,6,7,7,6,"2,5 đến 3",Chưa từng tham gia,Không ảnh hưởng,khong co
,MAS,APTIS,B2,5,4,5,4,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,không
,MAS,APTIS,B2,3,5,6,4,"3 đến 3,5",Chưa từng tham gia,Có ảnh hưởng,"Do trình độ bản thân còn thấp, không tiếp thu hết được bài giảng"
,MET,IELTS,B2,8,8,8,8,"2,5 đến 3",Đã từng tham gia,Có ảnh hưởng,K
,MET,IELTS,B2,7,8,7,7,"2,5 đến 3",Đã từng tham gia,Không ảnh hưởng,Từ vựng mới
,MET,APTIS,B2,5,6,5,6,"2,5 đến 3",Đã từng tham gia,Có ảnh hưởng,nhiều từ chuyên ngành
,MET,APTIS,B2,3,3,3,3,"2 đến 2,5",Đã từng tham gia,Có ảnh hưởng,Có
,MET,APTIS,C1,6,6,6,6,"3 đến 3,5",Chưa từng tham gia,Có ảnh hưởng,Thiếu vốn từ vựng để hiểu bài
,HAT,APTIS,B2,6,7,8,7,"3 đến 3,5",Đã từng tham gia,Có ảnh hưởng,"Có quá nhiều từ vựng cần phải nhớ, phát âm của mình đôi khi còn chưa chuẩn. Mình chưa có phương pháp thật phù hợp với bản thân"
,MAC,APTIS,B2,6,8,8,7,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,thi thoảng k hiểu gvien nói j 
,MET,APTIS,B2,5,7,7,5,"2,5 đến 3",Đã từng tham gia,Có ảnh hưởng,kho hieu
,HAT,TOEIC,B2,7,8,7,7,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,Không hiểu bài
,MET,VSTEP,B1,7,6,6,5,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,lên năm 3 hầu như nghe không hiểu
,MAC,IELTS,C1,8,8,9,7,"3 đến 3,5",Đã từng tham gia,Có ảnh hưởng,Nhiều thầy cô nói hơi khó nghe
,MAS,VSTEP,B2,8,7,7,6,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,thầy cô nói tiếng Anh nhanh 
,MAC,TOEIC,B2,7,9,9,6,"3 đến 3,5",Chưa từng tham gia,Không ảnh hưởng,hiện tại vẫn chưa
,MAC,IELTS,B2,5,4,5,4,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,Difficult to talk with teacher 
,MET,TOEIC,B1,6,4,6,5,"3 đến 3,5",Chưa từng tham gia,Có ảnh hưởng,Đôi lúc thầy cô nói nhanh 
,HAT,Khác,B1,7,6,6,5,"3 đến 3,5",Chưa từng tham gia,Có ảnh hưởng,Có khá nhiều văn bản chuyên ngành còn hơi khó khăn trong việc đọc và hiểu rõ
,MAC,IELTS,B1,6,7,6,5,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,Giao tiếp hạn chế
,MET,APTIS,B2,5,4,5,4,"2 đến 2,5",Chưa từng tham gia,Có ảnh hưởng,Nghe hơi kém thầy cô nói hơi nhanh khó tiếp thu
,HAT,Chưa có chứng chỉ tiếng anh,Không có chứng chỉ,3,4,4,3,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,Không có vde vì về nhà tự tìm hiểu
,HAT,VSTEP,B2,3,5,5,5,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,Đôi khi nghe khó hiểu vì thầy cô nước ngoài nói nhanh
,MAS,Chưa có chứng chỉ tiếng anh,Không có chứng chỉ,6,5,5,3,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,Nhiều từ chuyên ngành mới chưa từng gặp qua dẫn đến việc khó tiếp thu kiến thức.
,MAC,APTIS,C1,4,4,3,4,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,Nhiều từ ngữ chuyên ngành quá
,MAS,APTIS,B2,2,4,5,5,"2 đến 2,5",Đã từng tham gia,Có ảnh hưởng,Từ vựng
,HAT,Khác,B1,4,6,6,5,"3 đến 3,5",Chưa từng tham gia,Có ảnh hưởng,Không có
,MET,IELTS,B1,5,8,6,6,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,Bản thân những môn dạy bằng tiếng anh học sinh chỉ có thể nắm đc 70-85% thôi
,MET,TOEIC,B1,4,5,7,4,"3,5 đến 4",Chưa từng tham gia,Không ảnh hưởng,Không có vấn đề
,MAC,IELTS,A2,7,7,7,7,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,Khó hiểu hoàn toàn và chính xác nội dung
,MAC,TOEIC,B2,5,5,5,5,"3 đến 3,5",Chưa từng tham gia,Có ảnh hưởng,Không
,HAT,VSTEP,B2,5,4,6,6,"2 đến 2,5",Chưa từng tham gia,Có ảnh hưởng,Tiếng anh khó tiếp thu và nhớ hơn tiếng Việt
,MAC,TOEIC,B1,2,5,6,5,"2,5 đến 3",Chưa từng tham gia,Không ảnh hưởng,Khó hiểu dẫn đến khó nhớ do từ chuyên ngành
,MAS,APTIS,B2,6,6,6,6,"3 đến 3,5",Chưa từng tham gia,Có ảnh hưởng,Khó hoàn thành yêu cầu trên lớp 
,MET,IELTS,B2,6,6,6,5,"2,5 đến 3",Đã từng tham gia,Có ảnh hưởng,Mình không mắc những khó khăn nào
,MET,IELTS,C1,6,8,8,6,"3 đến 3,5",Chưa từng tham gia,Có ảnh hưởng,Mình rất tự tin với khả năng tiếng anh của bản thân
,HAT,IELTS,C1,6,9,9,6,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,Dễ hiểu 
,MAC,APTIS,B2,5,6,6,5,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,Không hiểu hết ý nghĩa bài giảng
,MET,IELTS,C1,8,8,6,7,"3 đến 3,5",Chưa từng tham gia,Có ảnh hưởng,.
,MAC,APTIS,B1,6,6,7,4,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,khó hiểu quá
,HAT,VSTEP,B2,7,4,5,6,"2,5 đến 3",Đã từng tham gia,Có ảnh hưởng, 
,MAC,TOEIC,C2,9,8,10,7,"3 đến 3,5",Chưa từng tham gia,Có ảnh hưởng, 
,MAS,TOEIC,B1,5,4,6,3,"2,5 đến 3",Đã từng tham gia,Có ảnh hưởng, 
,MAS,APTIS,B2,7,9,9,8,"2,5 đến 3",Đã từng tham gia,Có ảnh hưởng, 
,MET,IELTS,B2,7,8,8,7,"3 đến 3,5",Đã từng tham gia,Có ảnh hưởng, 
,MET,Chưa có chứng chỉ tiếng anh,Không có chứng chỉ,5,4,6,5,"2,5 đến 3",Đã từng tham gia,Có ảnh hưởng, 
,HAT,VSTEP,C1,8,7,7,6,"3 đến 3,5",Chưa từng tham gia,Có ảnh hưởng, 
,MAS,APTIS,B2,6,6,7,5,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng, 
,MAC,IELTS,B1,5,6,7,4,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng, 
,MAS,APTIS,B2,7,7,8,6,"3 đến 3,5",Chưa từng tham gia,Có ảnh hưởng, 
,HAT,APTIS,B2,7,8,8,6,"2,5 đến 3",Đã từng tham gia,Có ảnh hưởng, 
,MET,APTIS,B2,7,8,8,7,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,specialized knowledge
,MAC,IELTS,B2,7,7,6,8,"2,5 đến 3",Đã từng tham gia,Có ảnh hưởng, 
,MAC,VSTEP,B2,5,3,6,5,"3 đến 3,5",Chưa từng tham gia,Có ảnh hưởng,Giao tiếp khó khăn 1 xíu
,MAS,Chưa có chứng chỉ tiếng anh,Không có chứng chỉ,4,6,5,5,"2,5 đến 3",Chưa từng tham gia,Có ảnh hưởng,Khó hiểu 
,HAT,IELTS,B1,6,7,6,6,"3 đến 3,5",Đã từng tham gia,Có ảnh hưởng,Cũng không có khó khăn
,MET,Khác,B2,7,4,5,6,"3 đến 3,5",Chưa từng tham gia,Có ảnh hưởng,Có 1 chút khó hiểu 