"Dấu thời gian,""1. Chương trình học của bạn là gì ?"",""1. Bạn đã đạt được những chứng chỉ tiếng Anh nào?"",""2. Thang điểm tương ứng với chứng chỉ bạn đã đạt được?"",""3. Theo bạn, trình độ Speaking của bạn đang ở thang điểm bao nhiêu?"",""4. Theo bạn, trình độ Listening của bạn đang ở thang điểm bao nhiêu?"",""5. Theo bạn, trình độ Reading của bạn đang ở thang điểm bao nhiêu?"",""6. Theo bạn, trình độ Writing của bạn đang ở thang điểm bao nhiêu?"",""1. GPA của bạn hiện tại trong khoảng nào?"",""2. Bạn đã từng tham gia cuộc thi nào liên quan đến tiếng Anh chưa?"",""3. Bạn có nghĩ tiếng Anh ảnh hưởng đến năng lực học tập của bạn không?"",""4. Các bạn đang gặp phải những khó khăn gì trong việc tiếp thu những môn học được giảng dạy bằng tiếng Anh?"""
"2023/10/02 2:26:19 CH GMT+7,""MAS"",""Chưa có chứng chỉ tiếng anh"",""Không có chứng chỉ"",""3"",""5"",""4"",""4"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Đôi khi khó giao tiếp với giáo viên """
"2023/10/02 2:38:38 CH GMT+7,""MAS"",""IELTS"",""B2"",""7"",""7"",""7"",""6"",""3 đến 3,5"",""Đã từng tham gia"",""Có ảnh hưởng"",""Hiện tại mình chưa thấy gặp bất kỳ khó khăn nào"""
"2023/10/02 2:40:23 CH GMT+7,""MAS"",""APTIS"",""B2"",""7"",""6"",""5"",""5"",""3 đến 3,5"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Mình không nắm bắt được toàn bộ bài giảng"""
"2023/10/02 2:40:42 CH GMT+7,""HAT"",""VSTEP"",""B2"",""7"",""8"",""8"",""6"",""2,5 đến 3"",""Đã từng tham gia"",""Có ảnh hưởng"",""không có song ngữ để so sánh nội dung tiếp thu"""
"2023/10/02 2:49:46 CH GMT+7,""HAT"",""APTIS"",""C2"",""9"",""9"",""8"",""7"",""3 đến 3,5"",""Đã từng tham gia"",""Có ảnh hưởng"",""Tớ nghĩ là tùy môn học thì trình độ nói tiếng Anh của mỗi thầy cô cũng khác nhau, dẫn tới không phải thầy cô nào nói tiếng Anh tớ cũng hiểu và theo kịp."""
"2023/10/02 2:54:03 CH GMT+7,""MET"",""IELTS"",""B2"",""7"",""7"",""7"",""6"",""3 đến 3,5"",""Đã từng tham gia"",""Có ảnh hưởng"",""Mình không cảm thấy có những khó khăn nào"""
"2023/10/02 2:57:15 CH GMT+7,""MAC"",""VSTEP"",""B1"",""5"",""5"",""4"",""5"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Khó theo kịp bài giảng """
"2023/10/02 3:01:52 CH GMT+7,""MAS"",""IELTS"",""B2"",""6"",""7"",""7"",""6"",""2,5 đến 3"",""Chưa từng tham gia"",""Không ảnh hưởng"",""khong co"""
"2023/10/02 3:31:48 CH GMT+7,""MAS"",""APTIS"",""B2"",""5"",""4"",""5"",""4"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""không"""
"2023/10/02 5:01:41 CH GMT+7,""MAS"",""APTIS"",""B2"",""3"",""5"",""6"",""4"",""3 đến 3,5"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Do trình độ bản thân còn thấp, không tiếp thu hết được bài giảng"""
"2023/10/02 5:36:40 CH GMT+7,""MET"",""IELTS"",""B2"",""8"",""8"",""8"",""8"",""2,5 đến 3"",""Đã từng tham gia"",""Có ảnh hưởng"",""K"""
"2023/10/02 9:09:57 CH GMT+7,""MET"",""IELTS"",""B2"",""7"",""8"",""7"",""7"",""2,5 đến 3"",""Đã từng tham gia"",""Không ảnh hưởng"",""Từ vựng mới"""
"2023/10/02 10:00:55 CH GMT+7,""MET"",""APTIS"",""B2"",""5"",""6"",""5"",""6"",""2,5 đến 3"",""Đã từng tham gia"",""Có ảnh hưởng"",""nhiều từ chuyên ngành"""
"2023/10/02 10:06:37 CH GMT+7,""MET"",""APTIS"",""B2"",""3"",""3"",""3"",""3"",""2 đến 2,5"",""Đã từng tham gia"",""Có ảnh hưởng"",""Có"""
"2023/10/02 11:12:42 CH GMT+7,""MET"",""APTIS"",""C1"",""6"",""6"",""6"",""6"",""3 đến 3,5"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Thiếu vốn từ vựng để hiểu bài"""
"2023/10/03 2:41:30 SA GMT+7,""HAT"",""APTIS"",""B2"",""6"",""7"",""8"",""7"",""3 đến 3,5"",""Đã từng tham gia"",""Có ảnh hưởng"",""Có quá nhiều từ vựng cần phải nhớ, phát âm của mình đôi khi còn chưa chuẩn. Mình chưa có phương pháp thật phù hợp với bản thân"""
"2023/10/03 8:11:47 SA GMT+7,""MAC"",""APTIS"",""B2"",""6"",""8"",""8"",""7"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""thi thoảng k hiểu gvien nói j """
"2023/10/03 8:22:53 SA GMT+7,""MET"",""APTIS"",""B2"",""5"",""7"",""7"",""5"",""2,5 đến 3"",""Đã từng tham gia"",""Có ảnh hưởng"",""kho hieu"""
"2023/10/03 2:41:23 CH GMT+7,""HAT"",""TOEIC"",""B2"",""7"",""8"",""7"",""7"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Không hiểu bài"""
"2023/10/03 2:50:57 CH GMT+7,""MET"",""VSTEP"",""B1"",""7"",""6"",""6"",""5"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""lên năm 3 hầu như nghe không hiểu"""
"2023/10/03 2:54:19 CH GMT+7,""MAC"",""IELTS"",""C1"",""8"",""8"",""9"",""7"",""3 đến 3,5"",""Đã từng tham gia"",""Có ảnh hưởng"",""Nhiều thầy cô nói hơi khó nghe"""
"2023/10/03 2:55:03 CH GMT+7,""MAS"",""VSTEP"",""B2"",""8"",""7"",""7"",""6"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""thầy cô nói tiếng Anh nhanh """
"2023/10/03 2:55:50 CH GMT+7,""MAC"",""TOEIC"",""B2"",""7"",""9"",""9"",""6"",""3 đến 3,5"",""Chưa từng tham gia"",""Không ảnh hưởng"",""hiện tại vẫn chưa"""
"2023/10/03 2:59:08 CH GMT+7,""MAC"",""IELTS"",""B2"",""5"",""4"",""5"",""4"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Difficult to talk with teacher """
"2023/10/03 3:02:37 CH GMT+7,""MET"",""TOEIC"",""B1"",""6"",""4"",""6"",""5"",""3 đến 3,5"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Đôi lúc thầy cô nói nhanh """
"2023/10/03 3:05:34 CH GMT+7,""HAT"",""Khác"",""B1"",""7"",""6"",""6"",""5"",""3 đến 3,5"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Có khá nhiều văn bản chuyên ngành còn hơi khó khăn trong việc đọc và hiểu rõ"""
"2023/10/03 3:08:16 CH GMT+7,""MAC"",""IELTS"",""B1"",""6"",""7"",""6"",""5"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Giao tiếp hạn chế"""
"2023/10/03 3:21:28 CH GMT+7,""MET"",""APTIS"",""B2"",""5"",""4"",""5"",""4"",""2 đến 2,5"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Nghe hơi kém thầy cô nói hơi nhanh khó tiếp thu"""
"2023/10/03 3:26:30 CH GMT+7,""HAT"",""Chưa có chứng chỉ tiếng anh"",""Không có chứng chỉ"",""3"",""4"",""4"",""3"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Không có vde vì về nhà tự tìm hiểu"""
"2023/10/03 3:28:18 CH GMT+7,""HAT"",""VSTEP"",""B2"",""3"",""5"",""5"",""5"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Đôi khi nghe khó hiểu vì thầy cô nước ngoài nói nhanh"""
"2023/10/03 3:38:34 CH GMT+7,""MAS"",""Chưa có chứng chỉ tiếng anh"",""Không có chứng chỉ"",""6"",""5"",""5"",""3"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Nhiều từ chuyên ngành mới chưa từng gặp qua dẫn đến việc khó tiếp thu kiến thức."""
"2023/10/03 3:46:37 CH GMT+7,""MAC"",""APTIS"",""C1"",""4"",""4"",""3"",""4"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Nhiều từ ngữ chuyên ngành quá"""
"2023/10/03 3:53:41 CH GMT+7,""MAS"",""APTIS"",""B2"",""2"",""4"",""5"",""5"",""2 đến 2,5"",""Đã từng tham gia"",""Có ảnh hưởng"",""Từ vựng"""
"2023/10/03 3:54:37 CH GMT+7,""HAT"",""Khác"",""B1"",""4"",""6"",""6"",""5"",""3 đến 3,5"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Không có"""
"2023/10/03 3:59:22 CH GMT+7,""MET"",""IELTS"",""B1"",""5"",""8"",""6"",""6"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Bản thân những môn dạy bằng tiếng anh học sinh chỉ có thể nắm đc 70-85% thôi"""
"2023/10/03 4:02:19 CH GMT+7,""MET"",""TOEIC"",""B1"",""4"",""5"",""7"",""4"",""3,5 đến 4"",""Chưa từng tham gia"",""Không ảnh hưởng"",""Không có vấn đề"""
"2023/10/03 4:05:27 CH GMT+7,""MAC"",""IELTS"",""A2"",""7"",""7"",""7"",""7"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Khó hiểu hoàn toàn và chính xác nội dung"""
"2023/10/03 4:19:01 CH GMT+7,""MAC"",""TOEIC"",""B2"",""5"",""5"",""5"",""5"",""3 đến 3,5"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Không"""
"2023/10/03 4:33:02 CH GMT+7,""HAT"",""VSTEP"",""B2"",""5"",""4"",""6"",""6"",""2 đến 2,5"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Tiếng anh khó tiếp thu và nhớ hơn tiếng Việt"""
"2023/10/03 4:39:01 CH GMT+7,""MAC"",""TOEIC"",""B1"",""2"",""5"",""6"",""5"",""2,5 đến 3"",""Chưa từng tham gia"",""Không ảnh hưởng"",""Khó hiểu dẫn đến khó nhớ do từ chuyên ngành"""
"2023/10/03 7:52:29 CH GMT+7,""MAS"",""APTIS"",""B2"",""6"",""6"",""6"",""6"",""3 đến 3,5"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Khó hoàn thành yêu cầu trên lớp """
"2023/10/03 7:53:57 CH GMT+7,""MET"",""IELTS"",""B2"",""6"",""6"",""6"",""5"",""2,5 đến 3"",""Đã từng tham gia"",""Có ảnh hưởng"",""Mình không mắc những khó khăn nào"""
"2023/10/03 7:55:36 CH GMT+7,""MET"",""IELTS"",""C1"",""6"",""8"",""8"",""6"",""3 đến 3,5"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Mình rất tự tin với khả năng tiếng anh của bản thân"""
"2023/10/03 7:58:39 CH GMT+7,""HAT"",""IELTS"",""C1"",""6"",""9"",""9"",""6"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Dễ hiểu """
"2023/10/03 7:59:53 CH GMT+7,""MAC"",""APTIS"",""B2"",""5"",""6"",""6"",""5"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Không hiểu hết ý nghĩa bài giảng"""
"2023/10/03 8:04:36 CH GMT+7,""MET"",""IELTS"",""C1"",""8"",""8"",""6"",""7"",""3 đến 3,5"",""Chưa từng tham gia"",""Có ảnh hưởng"",""."""
"2023/10/03 8:08:08 CH GMT+7,""MAC"",""APTIS"",""B1"",""6"",""6"",""7"",""4"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""khó hiểu quá"""
"2023/10/03 8:08:58 CH GMT+7,""HAT"",""VSTEP"",""B2"",""7"",""4"",""5"",""6"",""2,5 đến 3"",""Đã từng tham gia"",""Có ảnh hưởng"","" """
"2023/10/03 8:12:36 CH GMT+7,""MAC"",""TOEIC"",""C2"",""9"",""8"",""10"",""7"",""3 đến 3,5"",""Chưa từng tham gia"",""Có ảnh hưởng"","" """
"2023/10/03 8:13:27 CH GMT+7,""MAS"",""TOEIC"",""B1"",""5"",""4"",""6"",""3"",""2,5 đến 3"",""Đã từng tham gia"",""Có ảnh hưởng"","" """
"2023/10/03 8:14:37 CH GMT+7,""MAS"",""APTIS"",""B2"",""7"",""9"",""9"",""8"",""2,5 đến 3"",""Đã từng tham gia"",""Có ảnh hưởng"","" """
"2023/10/03 8:15:17 CH GMT+7,""MET"",""IELTS"",""B2"",""7"",""8"",""8"",""7"",""3 đến 3,5"",""Đã từng tham gia"",""Có ảnh hưởng"","" """
"2023/10/03 8:16:10 CH GMT+7,""MET"",""Chưa có chứng chỉ tiếng anh"",""Không có chứng chỉ"",""5"",""4"",""6"",""5"",""2,5 đến 3"",""Đã từng tham gia"",""Có ảnh hưởng"","" """
"2023/10/03 8:17:00 CH GMT+7,""HAT"",""VSTEP"",""C1"",""8"",""7"",""7"",""6"",""3 đến 3,5"",""Chưa từng tham gia"",""Có ảnh hưởng"","" """
"2023/10/03 8:22:18 CH GMT+7,""MAS"",""APTIS"",""B2"",""6"",""6"",""7"",""5"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"","" """
"2023/10/03 8:23:35 CH GMT+7,""MAC"",""IELTS"",""B1"",""5"",""6"",""7"",""4"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"","" """
"2023/10/03 8:26:12 CH GMT+7,""MAS"",""APTIS"",""B2"",""7"",""7"",""8"",""6"",""3 đến 3,5"",""Chưa từng tham gia"",""Có ảnh hưởng"","" """
"2023/10/03 8:34:55 CH GMT+7,""HAT"",""APTIS"",""B2"",""7"",""8"",""8"",""6"",""2,5 đến 3"",""Đã từng tham gia"",""Có ảnh hưởng"","" """
"2023/10/03 8:49:10 CH GMT+7,""MET"",""APTIS"",""B2"",""7"",""8"",""8"",""7"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""specialized knowledge"""
"2023/10/03 8:49:54 CH GMT+7,""MAC"",""IELTS"",""B2"",""7"",""7"",""6"",""8"",""2,5 đến 3"",""Đã từng tham gia"",""Có ảnh hưởng"","" """
"2023/10/03 9:19:28 CH GMT+7,""MAC"",""VSTEP"",""B2"",""5"",""3"",""6"",""5"",""3 đến 3,5"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Giao tiếp khó khăn 1 xíu"""
"2023/10/03 9:22:31 CH GMT+7,""MAS"",""Chưa có chứng chỉ tiếng anh"",""Không có chứng chỉ"",""4"",""6"",""5"",""5"",""2,5 đến 3"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Khó hiểu """
"2023/10/03 9:23:16 CH GMT+7,""HAT"",""IELTS"",""B1"",""6"",""7"",""6"",""6"",""3 đến 3,5"",""Đã từng tham gia"",""Có ảnh hưởng"",""Cũng không có khó khăn"""
"2023/10/03 9:24:21 CH GMT+7,""MET"",""Khác"",""B2"",""7"",""4"",""5"",""6"",""3 đến 3,5"",""Chưa từng tham gia"",""Có ảnh hưởng"",""Có 1 chút khó hiểu """
